B-REF	Abadan-Unat, Nermin. (Hrsg.). (1985). Frauen in der türkischen Gesellschaft. Frankfurt a. M.:
I-REF	Dagyeli Verlag
B-REF	Badinter, Elisabeth. (2010). Der Konfl ikt. Die Frau und die Mutter. München: C. H. Beck Verlag
B-REF	Bereswill, Mechthild; Scheiwe, Kirsten & Wolde, Anja (Hrsg.). (2006). Vaterschaft im Wandel.
I-REF	Multidisziplinäre Analysen und Perspektiven aus geschlechtertheoretischer Sicht. Weinheim
I-REF	und München: Juventa Verlag
B-REF	Children's Ombudsman Institution of the Republic of Lithuania. (2007). The research concerning
I-REF	the security and implementation of the rights of children deprived of parental care due to the
I-REF	departure of their parents to the foreign countries. Report (unveröffentlicht)
B-REF	Danilewicz, Wioletta. (2006). Sytuacja życiowa dzieci w rodzinach migracyjnych. Białystok:
I-REF	Trans Humana
B-REF	Dayton-Johnson, Jeff; T. Katseli, Louka & Xenogiani, Anna di Mattia. (2007). Policy Coherence
I-REF	for Development: Migration and Developing Countries. Paris: Technical report, Organisation
I-REF	for Economic Co-Operation and Development
B-REF	Doucet, Andrea. (2006). Do men mother? Fathering, care and domestic responsibility. Toronto:
I-REF	Toronto University Press
B-REF	Doucet, Andrea. (2010). Dad and Baby in the First Year: Gendered Responsibilities and
I-REF	Embodiment. The ANNALS of the American Academy of Political and Social Science, 624,
I-REF	78–98
B-REF	Duncan, Simon & Edwards, Rosalind. (1999). Lone Mothers, paid work and gendered moral
I-REF	rationalities. London: Palgrave Macmillan
B-REF	Edwards, Rosalind; Doucet, Andrea & Furstenberg, F. Frank. (Hrsg.). (2009). Fathering across
I-REF	Diversity and Adversity: International Perspectives and Policy Interventions. The ANNALS
I-REF	of the American Academy of Political and Social Science, (624)
B-REF	Gamburd, Michele Ruth (2000). The kitchen spoon's handle. Transnationalism and Sri Lanka's
I-REF	migrant housemaids. Ithaka, London: Cornell University Press
B-REF	Golinowska, Stanisława; Bednarski, Marek; Broda-Wysocki, Piotr; Domaradzka, Ewa;
I-REF	Korczyńska, Joanna; Marek, Edward; Morecka, Zofi a & Rajkiewicz, Antoni. (2004). Popyt
I-REF	na pracę cudzoziemców. Polska i sąsiedzi. Warszawa: IPiSS
B-REF	Grunow, Daniela. (2007). Wandel der Geschlechterrollen und Väterhandeln im Alltag. In Tanja
I-REF	Mühling & Harald Rost (Hrsg.), Väter im Blickpunkt. Perspektiven der Familienforschung
I-REF	(S. 49–76). Opladen, Farmington Hills: Verlag Barbara Budrich
B-REF	Hays, Sharon. (1996). The cultural contradictions of motherhood. New Haven, London: Yale
I-REF	University Press
B-REF	Hochschild, Arlie R. (2000). Global Care Chains and Emotional Surplus Value. In Anthony
I-REF	Giddens & Will Hutton (Hrsg.), On the Edge. Living with Global Capitalism (S. 130–146).
I-REF	London: Jonathan Cape
B-REF	Hochschild, Arlie R. & Ehrenreich, Barbara. (2002). Global Woman: Nannies, Maids and Sex
I-REF	Workers in the New Economy. New York: Metropolitan Press
B-REF	Hochschild, Arlie R. (2003). The Commercialization of Intimate Life: Notes from Home and Work.
I-REF	Berkeley: University of California Press
B-REF	Hondagneu-Sotelo, Pierrette & Avila, Ernestine. (1997). " I'm Here, but I'm There " : The Meanings
