B-REF	Bicker, B. (2009): Theater als Parallelgesell -
I-REF	schaft? Über das Verhältnis von Theater und
I-REF	Migration. In: Hess, S. / Binder J. / Moser,
I-REF	J. (Hrsg.): No integration?! Kulturwissen-
I-REF	schalftiche Beiträge zur Integrationsdebatte
I-REF	in Europa. Bielefeld: Transkript Verlag, S.
I-REF	27-36.
B-REF	Krell, G. (2012): Diversity-orientierte Perso-
I-REF	nalentwicklung (PE). Systematik, Fallstricke
I-REF	und Chancen. Unveröfentlicher Vortrag,
I-REF	gehalten im Rahmen des ver.di Gender-
I-REF	Fachdialogs, Berlin 20.03.2012.
B-REF	Kömürcü Nobrega, O. S. (2013): Alienation
I-REF	in Higher Education: Lived Experiences of
I-REF	Racial and Class Based Inequality in Film
I-REF	and Drama School. URL: http://www.mi-
I-REF	gration-boell.de/web/integration/47_3554.
I-REF	asp [Zugrif am 04.09.2013 ].
B-REF	Milagro, L. S. (2012): Die Bequem-
I-REF	lichkeit der Definitionshoheit. URL:
I-REF	http://www.nachtkritik.de/index.
I-REF	php?view=article&id=6740%3Adie-
I-REF	blackfacing-debatte-iii-man-muss-
I-REF	kein-neonazi-sein-um-rassisisch-
I-REF	zu-handeln&option=com_
I-REF	content&Itemid=60 [Zugrif am
I-REF	04.09.2013].
B-REF	Özbilgin, M. F. (2008): Global Diversity
I-REF	Management. In: Smith, P. B. / Peterson, M.
I-REF	F. / Thomas, D. C. (Hrsg.): eTh Handbook
I-REF	of Cross-Cultural Management Research. Los
I-REF	Angeles, London, New Dehli, Singapore:
I-REF	SAGE, S. 379-396.
B-REF	Sharifi, A. (2012): Blackfacing, Kunstefriheit
I-REF	und die Partizipation von Postmigrant_in-
I-REF	nen an den Stadttheatern. URL: http://
I-REF	www.migration-boell.de/web/integra-
I-REF	tion/47_3281.asp [Zugrif am 04.09.2013].
