B-REF	Statistisches Bundesamt (1978a): Volkszählung vom 27. Mai 1970. Methodische und praktische Vorbereitung
I-REF	sowie Durchführung der Volkszählung 1970. Fachserie 1 Heft 25. Stuttgart/Mainz: Kohlhammer.
B-REF	Statistisches Bundesamt (1978b): Volkszählung vom 27. Mai 1970. Untersuchungen zur Methode und
I-REF	Genauigkeit der Volkszählung 1970. Fachserie 1 Heft 26. Stuttgart/Mainz: Kohlhammer.
B-REF	Statistisches Bundesamt (1972): Ausgewählte Strukturdaten für Bund und Länder. Fachserie A: Bevölkerung
I-REF	und Kultur. Volkszählung vom 27. Mai 1970, Heft 1.
B-REF	Statistisches Bundesamt (1972): Zusammengefasste Daten über Bevölkerung und Erwerbstätigkeit für Bund und
I-REF	Länder. Fachserie A: Bevölkerung und Kultur. Volkszählung vom 27. Mai 1970, Heft 3.
B-REF	Statistisches Bundesamt (1974): Bevölkerung und Bevölkerungsentwicklung nach Alter und Familienstand.
I-REF	Fachserie A: Bevölkerung und Kultur. Volkszählung vom 27. Mai 1970, Heft 5.
B-REF	Statistisches Bundesamt (1974): Bevölkerung und Haushalte. Fachserie A: Bevölkerung und Kultur.
I-REF	Volkszählung vom 27. Mai 1970, Heft 8.
B-REF	Statistisches Bundesamt (1974): Bevölkerung und Familien. Fachserie A: Bevölkerung und Kultur.
I-REF	Volkszählung vom 27. Mai 1970, Heft 9.
B-REF	Statistisches Bundesamt (1974): Bevölkerung in Anstalten. Fachserie A: Bevölkerung und Kultur. Volkszählung
I-REF	vom 27. Mai 1970, Heft 11.
B-REF	Statistisches Bundesamt (1974): Bevölkerung nach dem Ausbildungsstand, demographischen Merkmalen und
I-REF	Beteiligung am Erwerbsleben. Fachserie A: Bevölkerung und Kultur. Volkszählung vom 27. Mai 1970, Heft 13.
B-REF	Statistisches Bundesamt (1974): Ausländer. Fachserie A: Bevölkerung und Kultur. Volkszählung vom 27. Mai
I-REF	1970, Heft 23.
B-REF	Bach, Walter (1979): Ziehung einer Stichprobe aus den Mikrodaten der Berufszählung 1970. Mannheim:
I-REF	VASMA-Arbeitspapier 9.
B-REF	Bach, Walter/ Handl, Johann/Müller, Walter (1980): Volks-und Berufszählung 1970. Codebuch und
I-REF	Grundauszählung. Mannheim.
B-REF	Schimpl-Neimanns, Bernhard/Frenzel, Hansjörg (1995): 1-Prozent Stichprobe der Volks-und Berufszählung
I-REF	1970 – Datei mit Haushalts-und Familiennummern und revidierter Teilstichprobe für West-Berlin.
I-REF	Dokumentation der Datenaufbereitung. Mannheim: ZUMA-Technischer Bericht T95/06.
B-REF	Frenzel, Hansjörg; Nau, Anke; Schimpl-Neimanns, Bernhard (1995): 1-Prozent Stichprobe der Volks-und
I-REF	Berufszählung 1970. Datei mit Haushalts-und Familiennummern und revidierte Teilstichprobe für West-Berlin.
I-REF	Codebuch und Grundauszählung.
