B-REF	BEHR, A. (1994): Konflikte und Defizite
I-REF	zwischen Denkmalpflege und Innen-
I-REF	stadtentwicklung. In: Informationen zur
I-REF	Raumentwicklung, Heft 3, S. 223-228.
B-REF	Bundesforschungsanstalt für Landeskun-
I-REF	de und Raumordnung (BfLR) (Hrsg.)
I-REF	(1996): Revitalisierung historischer
I-REF	Stadtkerne in den neuen Bundeslän-
I-REF	dern – städtebaulicher Denkmalschutz.
I-REF	ExWoSt-Informationen zum For-
I-REF	schungsfeld Städtebauliche Erneuerung
I-REF	10.14. Bonn.
B-REF	BMBau (Hrsg.) (1992): Förderprogramm
I-REF	Städtebaulicher Denkmalschutz in den
I-REF	neuen Ländern – Städteporträts. Bonn.
B-REF	CANISIUS, P. (1996): Historische Städte als
I-REF	Teil des Weltkulturerbes. In: BMBau
I-REF	(1996): Dokumentation des 5. Quedlin-
I-REF	burger Städtebaukongresses – Urbani-
I-REF	tät und Mobilität. Berlin/Bonn.
B-REF	Deutsches Nationalkomitee für Denkmal-
I-REF	schutz (Hrsg.) (1994): Denkmalpflege
I-REF	als Standort- und Wirtschaftsfaktor.
I-REF	Schriftenreihe des Deutschen National-
I-REF	komitees für Denkmalschutz, Band 49.
I-REF	Bonn.
B-REF	Die Zeit (1996): Ruin im Reichtum. Ob-
I-REF	wohl seit zwei Jahren als Weltkulturer-
I-REF	be anerkannt, verfällt Quedlinburg wei-
I-REF	ter. Die Zeit, 15.11.1996.
B-REF	FAKHIM-HASCHEMI, S., J. NIPPER u. M. NUTZ
I-REF	(1992): Versorgungssituation und Städ-
I-REF	tekonkurrenz – Ergebnisse einer Pro-
I-REF	jektarbeit im ehemaligen deutsch-deut-
I-REF	schen Grenzraum. In: Standort, Heft 2,
I-REF	S. 19-24.
B-REF	FARENHOLTZ, C. (1995): Nutzungsmi-
I-REF	schung und bauliche Gestaltung. In:
I-REF	Informationen zur Raumentwicklung,
I-REF	Heft 6/7, S. 435-442.
B-REF	Frankfurter Allgemeine Zeitung (1995):
I-REF	Unterhalb des Stiftsbergs Fachwerkro-
I-REF	mantik – Aber dem „Erbe der Mensch-
I-REF	heit“ droht der Verfall. FAZ, 6.04.1995.
B-REF	ICOMOS (Hrsg.) (1994): World Heritage
I-REF	List – Quedlinburg. Bonn.
